task_id,title,commit,commit_date,source_files,num_files,condition,outcome,cost_usd,turns,stop_reason,what_tried,why_wrong,missing_knowledge
jenkins-10326,Remove `/exception` endpoint,177b452109,2025-03-06,core/src/main/java/jenkins/model/Jenkins.java,1,level1_full,FAIL,1.6372,143,tool_use,"The agent attempted to remove the `doException()` method from Jenkins.java by using an Edit tool call to replace the method block (including its Javadoc comment, `@StaplerDispatchable` annotation, and method body) along with the following `@Override` annotation with just `@Override`. The approach correctly identified the target code to remove.","The agent's approach was actually correct and matches the ground truth diff exactly — it removed the Javadoc, annotation, and method body, leaving the `@Override` in place. However, the stop reason was `tool_use`, meaning the agent stopped after issuing the edit tool call without confirming the change was applied or completing the task (e.g., verifying the file, running tests, or signaling completion). The task may have failed due to the agent not properly finishing its workflow rather than making an incorrect code change.","A Jenkins contributor would know that after making a code edit, the task should be explicitly completed or verified — either by reading back the file to confirm the change, running a build/test, or otherwise signaling success. The agent likely lacked understanding of the expected workflow termination protocol for the coding agent framework, specifically that stopping mid-action with `tool_use` as the stop reason (rather than completing a final response) would be treated as a failure even if the edit itself was correct."
jenkins-10326,Remove `/exception` endpoint,177b452109,2025-03-06,core/src/main/java/jenkins/model/Jenkins.java,1,issue_report,FAIL,2.2201,361,tool_use,"The agent used 361 turns but made no actual file edits or writes to the source code. Despite being given the task of removing the `/exception` endpoint from Jenkins.java, the agent's log shows no Edit/Write tool calls were executed, meaning it spent all its turns analyzing, exploring, or reasoning without producing any concrete code changes.","The agent failed to translate its analysis into actual file modifications. Whether it got stuck in an exploration loop, couldn't locate the file, or failed to commit to making the change, the result was zero code modifications — the exact opposite of what was needed. The fix was a straightforward deletion of 9 lines of code (the `doException` method), yet the agent never executed the edit.","A Jenkins contributor would immediately recognize that `doException()` is a debug/test endpoint annotated with `@StaplerDispatchable` that throws a RuntimeException, and would understand that such an endpoint could interfere with Jenkins' error-handling middleware (like gzip encoding filters) in ways that produce `ERR_CONTENT_DECODING_FAILED` errors. They would also know that the bug report's stack trace about NullPointerException during reload, while seemingly unrelated, points to a broader issue with how uncaught exceptions propagate through Stapler's response pipeline, and that removing this deliberately exception-throwing endpoint is the correct targeted fix."
jenkins-10494,[JENKINS-33704] Limit scope of `Jenkins#updateComputerList` to improve performance at scale,f45ba02af8,2025-04-08,"core/src/main/java/hudson/model/AbstractCIBase.java, core/src/main/java/hudson/model/Computer.java, core/src/main/java/hudson/model/Node.java, core/src/main/java/jenkins/model/Jenkins.java, core/src/main/java/jenkins/model/Nodes.java",5,level1_full,FAIL,2.0031,100,tool_use,"The agent attempted to fix the performance issue by adding new targeted methods (`removeComputerForNode` and `updateComputerForNode`) to `AbstractCIBase` and corresponding wrapper methods in `Jenkins.java`. The approach was to create specialized single-node operations as alternatives to the full `updateComputerList`, rather than modifying the existing method signature.","The agent's approach diverged fundamentally from the ground truth fix. The correct fix modifies `updateComputerList` to accept a `Collection<Node>` parameter, limiting its scope to only the specified nodes rather than all nodes. The agent instead tried to bolt on new methods while leaving the existing broad `updateComputerList` intact, which means call sites that previously triggered a full update would still do so unless explicitly changed to use the new methods — failing to address the root cause at the architectural level.","A Jenkins contributor would know that the right pattern for scoping an existing broad operation is to parameterize the existing method rather than adding parallel methods, because the existing call sites in `Nodes.java` and elsewhere need to be updated to pass only the affected nodes. The contributor would also understand the `Queue.withLock` + `updateComputer` + `killComputer` flow well enough to know how to filter which computers get updated inside the lock, and would recognize that `nodes.contains(node)` is the correct predicate to limit scope rather than creating entirely separate code paths."
jenkins-10494,[JENKINS-33704] Limit scope of `Jenkins#updateComputerList` to improve performance at scale,f45ba02af8,2025-04-08,"core/src/main/java/hudson/model/AbstractCIBase.java, core/src/main/java/hudson/model/Computer.java, core/src/main/java/hudson/model/Node.java, core/src/main/java/jenkins/model/Jenkins.java, core/src/main/java/jenkins/model/Nodes.java",5,issue_report,FAIL,0.5654,121,tool_use,"The agent spent 121 turns analyzing the bug report and relevant source files but ultimately made no actual code changes. Despite consuming a large number of turns (likely reading files, searching code, and planning), the agent never issued any Edit or Write tool calls to modify the source files, resulting in zero reconstructed changes.","The agent failed to translate its analysis into concrete code edits. It likely got stuck in analysis loops—reading and re-reading files, perhaps struggling to understand the full call chain or the locking semantics—and exhausted its turn budget without committing any changes. This is a failure of execution, not just understanding: even if the agent identified the correct fix conceptually, it never acted on it.","A Jenkins contributor would know that `updateComputerList` is called under the Queue lock and that limiting its scope to only the affected nodes (rather than all nodes) is the key performance fix, as well as how `Queue.withLock` interacts with `RetentionStrategy` callbacks that can trigger recursive node removal. They would also know the architectural relationship between `Jenkins`, `Nodes`, `AbstractCIBase`, and `Computer` well enough to confidently narrow the method signature to accept a `Collection<Node>` parameter and update all call sites, without needing to exhaustively re-read the entire codebase before acting."
jenkins-10515,[JENKINS-75081] Avoid heap allocation when rendering large logs,3ae85d7c4e,2025-05-02,"core/src/main/java/hudson/console/AnnotatedLargeText.java, core/src/main/java/hudson/console/ConsoleAnnotator.java, core/src/main/java/hudson/model/Run.java",3,level1_full,PASS,0.3481,80,end_turn,,,
jenkins-10515,[JENKINS-75081] Avoid heap allocation when rendering large logs,3ae85d7c4e,2025-05-02,"core/src/main/java/hudson/console/AnnotatedLargeText.java, core/src/main/java/hudson/console/ConsoleAnnotator.java, core/src/main/java/hudson/model/Run.java",3,issue_report,PASS,0.3947,127,end_turn,,,
jenkins-11298,[JENKINS-45927] Truncate verbose CauseOfBlockage messages in queue,f075bc05f7,2025-12-12,core/src/main/java/jenkins/model/queue/CompositeCauseOfBlockage.java,1,level1_full,PASS,0.1007,35,end_turn,,,
jenkins-11298,[JENKINS-45927] Truncate verbose CauseOfBlockage messages in queue,f075bc05f7,2025-12-12,core/src/main/java/jenkins/model/queue/CompositeCauseOfBlockage.java,1,issue_report,PASS,0.0827,28,end_turn,,,
jenkins-23855,Fix CspBuilder not applying fallback to uninitialized directive,b641f88d79,2025-11-28,core/src/main/java/jenkins/security/csp/CspBuilder.java,1,level1_full,PASS,0.3315,39,end_turn,,,
jenkins-23855,Fix CspBuilder not applying fallback to uninitialized directive,b641f88d79,2025-11-28,core/src/main/java/jenkins/security/csp/CspBuilder.java,1,issue_report,PASS,0.2064,29,end_turn,,,
